20160622,101013264,MAS VN,VN,1,141500.00000000,3000.00
20160929,101013264,GIL VN,VN,1,67800.00000000,3000.00
20150205,20002894001,BABA US,US,1,89.00000000,180.00
20170919,101013264,ACV VN,VN,1,58000.00000000,2000.00
20150126,101013264,MWG VN,VN,1,0.00000000,2640.00
20170926,101013264,LHC VN,VN,2,63000.00000000,2500.00
20160929,101013264,VKC VN,VN,1,19400.00000000,25000.00
20170901,101013264,SHB VN,VN,1,7900.00000000,22500.00
20150827,20002894001,1181 HK,HK,1,1.64000000,20000.00
20170215,101013264,CVT VN,VN,2,47200.00000000,5000.00
20150302,20002894001,1181 HK,HK,1,1.67000000,8000.00
20170328,101013264,GIL VN,VN,1,51300.00000000,4000.00
20160218,20002894001,1910 HK,HK,1,23.00000000,2400.00
20180125,632407,SILO.ID,ID,1,9000.00000000,11000.00
20170320,101013264,GIL VN,VN,1,53383.00000000,55000.00
20170323,101013264,VKC VN,VN,1,14000.00000000,10000.00
20180412,632407,SILO.ID,ID,1,8400.00000000,15000.00
20180410,101013264,HDB VN,VN,1,49800.00000000,5000.00
20180807,632407,SILO.ID,ID,1,3070.00000000,25000.00
20180827,632407,BRTSS.SG,SG,1,1.03000000,12000.00
20180417,632407,SILO.ID,ID,1,8375.00000000,10000.00
20170926,101013264,ACV VN,VN,1,63800.00000000,800.00
20141218,101013264,DQC VN,VN,1,0.00000000,5100.00
20180131,101013264,VRE VN,VN,1,57000.00000000,2000.00
20150915,20002894001,1181 HK,HK,1,1.64000000,50000.00
20180411,632407,6723.JP,JP,1,1005.00000000,5800.00
20150715,20002894001,7261 JP,JP,1,0.00000000,800.00
20170922,632407,LAC.CA,CA,1,1.60000000,9000.00
20170412,101013264,VKC VN,VN,1,13400.00000000,4700.00
20180807,632407,SILO.ID,ID,1,3060.00000000,15000.00
20141003,20002894001,2914 JP,JP,1,3450.00000000,200.00
20150302,20002894001,1910 HK,HK,2,0.00000000,2700.00
20171019,101013264,WCS VN,VN,1,170000.00000000,200.00
20151105,624892,YZJSGD SP,SP,1,1.22000000,2200.00
20170515,101013264,NCT VN,VN,1,81000.00000000,1900.00
20170119,101013264,WCS VN,VN,1,187000.00000000,600.00
20180703,101013264,DHP VN,VN,2,11200.00000000,3200.00
20160122,101013264,HTL VN,VN,1,152000.00000000,2020.00
20170119,101013264,HPG VN,VN,2,43000.00000000,5750.00
20180824,632407,SILO.ID,ID,1,2990.00000000,10000.00
20140402,20002894001,1321 JP,JP,2,15600.00000000,50.00
20170322,632407,5707.JP,JP,1,560.00000000,5000.00
20170215,101013264,HAX VN,VN,2,43300.00000000,5000.00
20160205,101013264,NCT VN,VN,1,120000.00000000,8000.00
20150204,20002894001,1181 HK,HK,1,1.60000000,20000.00
20180703,101013264,DSN VN,VN,2,54500.00000000,700.00
20180620,632407,BRTSS.SG,SG,1,1.04000000,15500.00
20180209,632407,SM PM,PM,1,950.00000000,640.00
20161104,632407,5707.JP,JP,2,389.00000000,2000.00
20150506,20002894001,573 HK,HK,1,3.63000000,20000.00
20140225,20002894001,1928 HK,HK,2,62.10000000,1200.00
20140723,20002894001,BA US,US,1,129.00000000,150.00
20171106,101013264,APC VN,VN,1,61400.00000000,2000.00
20140528,20002894001,UNH US,US,1,79.20000000,150.00
20150204,20002894001,43 HK,HK,2,0.90000000,36000.00
20140902,20002894001,43 HK,HK,1,0.90000000,124000.00
20180808,632407,SILO.ID,ID,1,3060.00000000,10000.00
20171206,632407,VED.UK,UK,2,6.40000000,5000.00
20180316,632407,VZ,VZ,1,48.29000000,200.00
20180207,632407,SILO.ID,ID,1,8900.00000000,10000.00
20170705,101013264,HAX VN,VN,1,47000.00000000,5000.00
20180710,632407,SILO.ID,ID,1,4450.00000000,5000.00
